Num Games, 20

0, Id, Score, 
, drone_0, 37, 
, gantry_0, 121, 
, quadruped_0, 94, 
, Total Turns , 100, 

1, Id, Score, 
, quadruped_0, 90, 
, gantry_0, 127, 
, drone_0, 35, 
, Total Turns , 110, 

2, Id, Score, 
, gantry_0, 141, 
, drone_0, 31, 
, quadruped_0, 80, 
, Total Turns , 120, 

3, Id, Score, 
, drone_0, 37, 
, quadruped_0, 97, 
, gantry_0, 118, 
, Total Turns , 101, 

4, Id, Score, 
, quadruped_0, 89, 
, gantry_0, 133, 
, drone_0, 30, 
, Total Turns , 100, 

5, Id, Score, 
, drone_0, 34, 
, gantry_0, 126, 
, quadruped_0, 92, 
, Total Turns , 96, 

6, Id, Score, 
, gantry_0, 152, 
, quadruped_0, 60, 
, drone_0, 40, 
, Total Turns , 130, 

7, Id, Score, 
, drone_0, 31, 
, gantry_0, 154, 
, quadruped_0, 67, 
, Total Turns , 120, 

8, Id, Score, 
, gantry_0, 123, 
, drone_0, 34, 
, quadruped_0, 95, 
, Total Turns , 110, 

9, Id, Score, 
, drone_0, 38, 
, quadruped_0, 65, 
, gantry_0, 149, 
, Total Turns , 111, 

10, Id, Score, 
, drone_0, 34, 
, quadruped_0, 91, 
, gantry_0, 127, 
, Total Turns , 101, 

11, Id, Score, 
, quadruped_0, 68, 
, drone_0, 32, 
, gantry_0, 152, 
, Total Turns , 111, 

12, Id, Score, 
, gantry_0, 124, 
, drone_0, 36, 
, quadruped_0, 92, 
, Total Turns , 110, 

13, Id, Score, 
, gantry_0, 134, 
, drone_0, 30, 
, quadruped_0, 88, 
, Total Turns , 96, 

14, Id, Score, 
, quadruped_0, 70, 
, drone_0, 36, 
, gantry_0, 146, 
, Total Turns , 151, 

15, Id, Score, 
, drone_0, 37, 
, gantry_0, 144, 
, quadruped_0, 71, 
, Total Turns , 150, 

16, Id, Score, 
, gantry_0, 158, 
, drone_0, 30, 
, quadruped_0, 64, 
, Total Turns , 150, 

17, Id, Score, 
, gantry_0, 126, 
, quadruped_0, 92, 
, drone_0, 34, 
, Total Turns , 100, 

18, Id, Score, 
, drone_0, 34, 
, quadruped_0, 90, 
, gantry_0, 128, 
, Total Turns , 101, 

19, Id, Score, 
, gantry_0, 149, 
, quadruped_0, 64, 
, drone_0, 39, 
, Total Turns , 130, 

