Search Ceiling, 6

n_drones: , 1, n_quadrupeds: , 1, n_gantries: , 1, 
, Id, Score, 
, quadruped_0, 62, 
, gantry_0, 141, 
, drone_0, 49, 
, Total Turns , 130, 

n_drones: , 1, n_quadrupeds: , 1, n_gantries: , 2, 
, Id, Score, 
, quadruped_0, 66, 
, drone_0, 33, 
, gantry_1, 80, 
, gantry_0, 73, 
, Total Turns , 70, 

n_drones: , 1, n_quadrupeds: , 1, n_gantries: , 3, 
, Id, Score, 
, drone_0, 30, 
, gantry_2, 63, 
, gantry_0, 70, 
, gantry_1, 51, 
, quadruped_0, 38, 
, Total Turns , 50, 

n_drones: , 1, n_quadrupeds: , 1, n_gantries: , 4, 
, Id, Score, 
, drone_0, 23, 
, gantry_3, 65, 
, gantry_0, 51, 
, quadruped_0, 29, 
, gantry_1, 36, 
, gantry_2, 48, 
, Total Turns , 50, 

n_drones: , 1, n_quadrupeds: , 1, n_gantries: , 5, 
, Id, Score, 
, gantry_0, 51, 
, gantry_3, 48, 
, gantry_4, 42, 
, gantry_2, 37, 
, gantry_1, 35, 
, drone_0, 17, 
, quadruped_0, 22, 
, Total Turns , 40, 

n_drones: , 1, n_quadrupeds: , 1, n_gantries: , 6, 
, Id, Score, 
, gantry_4, 58, 
, quadruped_0, 27, 
, gantry_5, 29, 
, gantry_1, 34, 
, gantry_3, 40, 
, gantry_2, 31, 
, gantry_0, 16, 
, drone_0, 17, 
, Total Turns , 30, 

n_drones: , 1, n_quadrupeds: , 2, n_gantries: , 1, 
, Id, Score, 
, quadruped_0, 71, 
, drone_0, 40, 
, gantry_0, 89, 
, quadruped_1, 52, 
, Total Turns , 74, 

n_drones: , 1, n_quadrupeds: , 2, n_gantries: , 2, 
, Id, Score, 
, gantry_0, 77, 
, quadruped_1, 37, 
, gantry_1, 75, 
, quadruped_0, 33, 
, drone_0, 30, 
, Total Turns , 60, 

n_drones: , 1, n_quadrupeds: , 2, n_gantries: , 3, 
, Id, Score, 
, gantry_1, 64, 
, gantry_2, 52, 
, drone_0, 26, 
, quadruped_1, 25, 
, gantry_0, 53, 
, quadruped_0, 32, 
, Total Turns , 50, 

n_drones: , 1, n_quadrupeds: , 2, n_gantries: , 4, 
, Id, Score, 
, gantry_2, 61, 
, gantry_0, 44, 
, drone_0, 21, 
, gantry_3, 49, 
, quadruped_1, 26, 
, gantry_1, 32, 
, quadruped_0, 19, 
, Total Turns , 30, 

n_drones: , 1, n_quadrupeds: , 2, n_gantries: , 5, 
, Id, Score, 
, quadruped_0, 33, 
, gantry_1, 49, 
, gantry_4, 40, 
, gantry_3, 31, 
, drone_0, 17, 
, gantry_2, 38, 
, quadruped_1, 21, 
, gantry_0, 23, 
, Total Turns , 40, 

n_drones: , 1, n_quadrupeds: , 2, n_gantries: , 6, 
, Id, Score, 
, quadruped_1, 18, 
, gantry_3, 59, 
, gantry_5, 43, 
, quadruped_0, 28, 
, gantry_2, 23, 
, drone_0, 14, 
, gantry_0, 33, 
, gantry_4, 22, 
, gantry_1, 12, 
, Total Turns , 23, 

n_drones: , 1, n_quadrupeds: , 3, n_gantries: , 1, 
, Id, Score, 
, quadruped_1, 54, 
, quadruped_0, 51, 
, gantry_0, 64, 
, quadruped_2, 51, 
, drone_0, 32, 
, Total Turns , 57, 

n_drones: , 1, n_quadrupeds: , 3, n_gantries: , 2, 
, Id, Score, 
, quadruped_1, 41, 
, gantry_1, 58, 
, gantry_0, 62, 
, quadruped_2, 31, 
, drone_0, 18, 
, quadruped_0, 42, 
, Total Turns , 40, 

n_drones: , 1, n_quadrupeds: , 3, n_gantries: , 3, 
, Id, Score, 
, quadruped_0, 27, 
, gantry_1, 51, 
, quadruped_2, 38, 
, drone_0, 20, 
, quadruped_1, 30, 
, gantry_0, 47, 
, gantry_2, 39, 
, Total Turns , 40, 

n_drones: , 1, n_quadrupeds: , 3, n_gantries: , 4, 
, Id, Score, 
, gantry_1, 57, 
, quadruped_0, 31, 
, drone_0, 14, 
, quadruped_1, 29, 
, gantry_0, 41, 
, gantry_3, 25, 
, quadruped_2, 31, 
, gantry_2, 24, 
, Total Turns , 30, 

n_drones: , 1, n_quadrupeds: , 3, n_gantries: , 5, 
, Id, Score, 
, quadruped_2, 22, 
, gantry_2, 50, 
, drone_0, 16, 
, quadruped_0, 24, 
, gantry_3, 33, 
, quadruped_1, 21, 
, gantry_0, 19, 
, gantry_1, 35, 
, gantry_4, 32, 
, Total Turns , 30, 

n_drones: , 1, n_quadrupeds: , 3, n_gantries: , 6, 
, Id, Score, 
, gantry_1, 35, 
, quadruped_1, 18, 
, gantry_5, 27, 
, quadruped_2, 20, 
, gantry_2, 31, 
, gantry_4, 26, 
, drone_0, 14, 
, quadruped_0, 22, 
, gantry_0, 23, 
, gantry_3, 36, 
, Total Turns , 21, 

n_drones: , 1, n_quadrupeds: , 4, n_gantries: , 1, 
, Id, Score, 
, quadruped_0, 42, 
, drone_0, 28, 
, gantry_0, 62, 
, quadruped_2, 43, 
, quadruped_1, 36, 
, quadruped_3, 41, 
, Total Turns , 40, 

n_drones: , 1, n_quadrupeds: , 4, n_gantries: , 2, 
, Id, Score, 
, quadruped_2, 36, 
, quadruped_3, 36, 
, quadruped_0, 34, 
, gantry_0, 53, 
, quadruped_1, 34, 
, gantry_1, 38, 
, drone_0, 21, 
, Total Turns , 40, 

n_drones: , 1, n_quadrupeds: , 4, n_gantries: , 3, 
, Id, Score, 
, quadruped_0, 34, 
, quadruped_3, 29, 
, quadruped_2, 24, 
, gantry_1, 40, 
, gantry_0, 42, 
, quadruped_1, 29, 
, drone_0, 19, 
, gantry_2, 35, 
, Total Turns , 30, 

n_drones: , 1, n_quadrupeds: , 4, n_gantries: , 4, 
, Id, Score, 
, gantry_2, 55, 
, drone_0, 18, 
, gantry_3, 36, 
, quadruped_0, 26, 
, quadruped_2, 26, 
, quadruped_3, 22, 
, quadruped_1, 26, 
, gantry_1, 31, 
, gantry_0, 12, 
, Total Turns , 21, 

n_drones: , 1, n_quadrupeds: , 4, n_gantries: , 5, 
, Id, Score, 
, quadruped_1, 25, 
, drone_0, 18, 
, quadruped_2, 24, 
, gantry_0, 35, 
, gantry_1, 31, 
, quadruped_3, 23, 
, gantry_2, 29, 
, quadruped_0, 21, 
, gantry_4, 10, 
, gantry_3, 36, 
, Total Turns , 20, 

n_drones: , 1, n_quadrupeds: , 4, n_gantries: , 6, 
, Id, Score, 
, quadruped_3, 20, 
, drone_0, 11, 
, gantry_1, 22, 
, quadruped_2, 20, 
, gantry_3, 41, 
, quadruped_0, 18, 
, gantry_0, 26, 
, gantry_4, 33, 
, gantry_2, 20, 
, gantry_5, 23, 
, quadruped_1, 18, 
, Total Turns , 20, 

n_drones: , 1, n_quadrupeds: , 5, n_gantries: , 1, 
, Id, Score, 
, quadruped_3, 39, 
, quadruped_1, 37, 
, drone_0, 24, 
, quadruped_0, 35, 
, quadruped_4, 30, 
, gantry_0, 57, 
, quadruped_2, 30, 
, Total Turns , 37, 

n_drones: , 1, n_quadrupeds: , 5, n_gantries: , 2, 
, Id, Score, 
, quadruped_2, 32, 
, gantry_0, 48, 
, quadruped_3, 28, 
, quadruped_1, 33, 
, quadruped_4, 26, 
, gantry_1, 40, 
, quadruped_0, 28, 
, drone_0, 17, 
, Total Turns , 30, 

n_drones: , 1, n_quadrupeds: , 5, n_gantries: , 3, 
, Id, Score, 
, gantry_2, 40, 
, quadruped_3, 28, 
, quadruped_0, 28, 
, drone_0, 18, 
, quadruped_1, 27, 
, gantry_1, 33, 
, quadruped_4, 28, 
, quadruped_2, 29, 
, gantry_0, 21, 
, Total Turns , 22, 

n_drones: , 1, n_quadrupeds: , 5, n_gantries: , 4, 
, Id, Score, 
, gantry_3, 42, 
, quadruped_3, 25, 
, gantry_2, 28, 
, drone_0, 16, 
, quadruped_4, 25, 
, quadruped_0, 19, 
, gantry_1, 36, 
, quadruped_2, 25, 
, gantry_0, 17, 
, quadruped_1, 19, 
, Total Turns , 22, 

n_drones: , 1, n_quadrupeds: , 5, n_gantries: , 5, 
, Id, Score, 
, gantry_0, 27, 
, quadruped_0, 22, 
, gantry_2, 33, 
, quadruped_2, 22, 
, gantry_3, 23, 
, quadruped_4, 20, 
, quadruped_3, 22, 
, gantry_4, 29, 
, quadruped_1, 19, 
, gantry_1, 21, 
, drone_0, 14, 
, Total Turns , 20, 

n_drones: , 1, n_quadrupeds: , 5, n_gantries: , 6, 
, Id, Score, 
, gantry_5, 32, 
, quadruped_0, 18, 
, quadruped_4, 19, 
, drone_0, 14, 
, quadruped_2, 21, 
, gantry_0, 23, 
, quadruped_3, 11, 
, gantry_2, 29, 
, gantry_3, 12, 
, gantry_1, 30, 
, gantry_4, 26, 
, quadruped_1, 17, 
, Total Turns , 20, 

n_drones: , 1, n_quadrupeds: , 6, n_gantries: , 1, 
, Id, Score, 
, quadruped_5, 33, 
, drone_0, 21, 
, quadruped_1, 32, 
, quadruped_2, 31, 
, quadruped_4, 28, 
, quadruped_3, 33, 
, gantry_0, 45, 
, quadruped_0, 29, 
, Total Turns , 30, 

n_drones: , 1, n_quadrupeds: , 6, n_gantries: , 2, 
, Id, Score, 
, gantry_1, 39, 
, quadruped_1, 27, 
, drone_0, 17, 
, gantry_0, 35, 
, quadruped_3, 28, 
, quadruped_4, 28, 
, quadruped_0, 26, 
, quadruped_5, 26, 
, quadruped_2, 26, 
, Total Turns , 22, 

n_drones: , 1, n_quadrupeds: , 6, n_gantries: , 3, 
, Id, Score, 
, gantry_1, 34, 
, gantry_2, 34, 
, quadruped_0, 27, 
, quadruped_2, 25, 
, drone_0, 14, 
, quadruped_5, 26, 
, quadruped_3, 22, 
, quadruped_4, 24, 
, gantry_0, 22, 
, quadruped_1, 24, 
, Total Turns , 23, 

n_drones: , 1, n_quadrupeds: , 6, n_gantries: , 4, 
, Id, Score, 
, quadruped_4, 24, 
, quadruped_2, 23, 
, quadruped_3, 21, 
, quadruped_0, 21, 
, gantry_2, 29, 
, quadruped_1, 20, 
, gantry_3, 38, 
, gantry_0, 17, 
, drone_0, 16, 
, quadruped_5, 22, 
, gantry_1, 21, 
, Total Turns , 20, 

n_drones: , 1, n_quadrupeds: , 6, n_gantries: , 5, 
, Id, Score, 
, gantry_3, 18, 
, quadruped_1, 22, 
, quadruped_2, 20, 
, gantry_2, 25, 
, drone_0, 15, 
, quadruped_0, 20, 
, gantry_0, 32, 
, quadruped_5, 18, 
, quadruped_4, 15, 
, gantry_4, 28, 
, gantry_1, 23, 
, quadruped_3, 16, 
, Total Turns , 23, 

n_drones: , 1, n_quadrupeds: , 6, n_gantries: , 6, 
, Id, Score, 
, quadruped_1, 22, 
, drone_0, 10, 
, gantry_4, 27, 
, quadruped_2, 17, 
, quadruped_5, 11, 
, gantry_2, 31, 
, quadruped_0, 18, 
, gantry_0, 17, 
, gantry_5, 23, 
, gantry_1, 15, 
, quadruped_3, 20, 
, gantry_3, 27, 
, quadruped_4, 14, 
, Total Turns , 20, 

n_drones: , 2, n_quadrupeds: , 1, n_gantries: , 1, 
