, Id, Score, 
, drone_0, 252, 
, Total Turns , 332, 

, Id, Score, 
, drone_0, 127, 
, drone_1, 125, 
, Total Turns , 175, 

, Id, Score, 
, drone_1, 85, 
, drone_0, 85, 
, drone_2, 82, 
, Total Turns , 110, 

, Id, Score, 
, drone_3, 64, 
, drone_1, 62, 
, drone_2, 62, 
, drone_0, 64, 
, Total Turns , 82, 

, Id, Score, 
, drone_1, 51, 
, drone_3, 49, 
, drone_2, 50, 
, drone_0, 51, 
, drone_4, 51, 
, Total Turns , 66, 

, Id, Score, 
, quadruped_0, 252, 
, Total Turns , 274, 

, Id, Score, 
, quadruped_0, 119, 
, quadruped_1, 133, 
, Total Turns , 150, 

, Id, Score, 
, quadruped_0, 86, 
, quadruped_2, 81, 
, quadruped_1, 85, 
, Total Turns , 92, 

, Id, Score, 
, quadruped_1, 66, 
, quadruped_2, 62, 
, quadruped_0, 63, 
, quadruped_3, 61, 
, Total Turns , 74, 

, Id, Score, 
, quadruped_1, 51, 
, quadruped_4, 52, 
, quadruped_2, 51, 
, quadruped_0, 48, 
, quadruped_3, 50, 
, Total Turns , 55, 

, Id, Score, 
, gantry_0, 252, 
, Total Turns , 261, 

, Id, Score, 
, gantry_1, 155, 
, gantry_0, 97, 
, Total Turns , 170, 

, Id, Score, 
, gantry_1, 104, 
, gantry_2, 87, 
, gantry_0, 61, 
, Total Turns , 90, 

, Id, Score, 
, gantry_0, 80, 
, gantry_1, 75, 
, gantry_3, 34, 
, gantry_2, 63, 
, Total Turns , 70, 

, Id, Score, 
, gantry_0, 68, 
, gantry_2, 62, 
, gantry_4, 47, 
, gantry_1, 37, 
, gantry_3, 38, 
, Total Turns , 60, 

, Id, Score, 
, drone_0, 103, 
, quadruped_0, 149, 
, Total Turns , 166, 

, Id, Score, 
, drone_1, 55, 
, drone_0, 51, 
, quadruped_1, 73, 
, quadruped_0, 73, 
, Total Turns , 74, 

, Id, Score, 
, quadruped_2, 54, 
, quadruped_1, 50, 
, quadruped_0, 48, 
, drone_1, 33, 
, drone_0, 35, 
, drone_2, 32, 
, Total Turns , 54, 

, Id, Score, 
, quadruped_3, 36, 
, quadruped_1, 36, 
, drone_3, 27, 
, drone_1, 27, 
, drone_2, 28, 
, quadruped_0, 36, 
, quadruped_2, 36, 
, drone_0, 26, 
, Total Turns , 36, 

, Id, Score, 
, drone_4, 20, 
, quadruped_3, 32, 
, quadruped_4, 31, 
, quadruped_2, 31, 
, quadruped_1, 31, 
, drone_1, 20, 
, drone_3, 18, 
, drone_0, 20, 
, quadruped_0, 30, 
, drone_2, 19, 
, Total Turns , 23, 

, Id, Score, 
, gantry_0, 175, 
, quadruped_0, 77, 
, Total Turns , 190, 

, Id, Score, 
, gantry_0, 81, 
, quadruped_0, 46, 
, gantry_1, 78, 
, quadruped_1, 47, 
, Total Turns , 70, 

, Id, Score, 
, quadruped_2, 36, 
, gantry_0, 54, 
, gantry_1, 57, 
, quadruped_0, 32, 
, quadruped_1, 32, 
, gantry_2, 41, 
, Total Turns , 41, 

, Id, Score, 
, gantry_2, 42, 
, quadruped_0, 33, 
, gantry_3, 37, 
, quadruped_1, 31, 
, quadruped_2, 29, 
, quadruped_3, 26, 
, gantry_1, 36, 
, gantry_0, 18, 
, Total Turns , 30, 

, Id, Score, 
, gantry_0, 30, 
, quadruped_1, 23, 
, gantry_2, 33, 
, quadruped_3, 25, 
, quadruped_4, 23, 
, quadruped_2, 25, 
, gantry_3, 20, 
, gantry_4, 36, 
, gantry_1, 18, 
, quadruped_0, 19, 
, Total Turns , 30, 

, Id, Score, 
, drone_0, 72, 
, gantry_0, 180, 
, Total Turns , 191, 

, Id, Score, 
, drone_1, 41, 
, gantry_1, 99, 
, drone_0, 45, 
, gantry_0, 67, 
, Total Turns , 90, 

, Id, Score, 
, drone_0, 27, 
, gantry_1, 61, 
, gantry_2, 45, 
, drone_1, 27, 
, gantry_0, 67, 
, drone_2, 25, 
, Total Turns , 40, 

, Id, Score, 
, drone_2, 21, 
, gantry_3, 53, 
, gantry_0, 43, 
, drone_0, 19, 
, drone_3, 21, 
, gantry_2, 43, 
, drone_1, 19, 
, gantry_1, 33, 
, Total Turns , 30, 

, Id, Score, 
, gantry_4, 50, 
, drone_2, 15, 
, drone_0, 17, 
, drone_3, 14, 
, gantry_1, 33, 
, gantry_2, 36, 
, gantry_0, 34, 
, drone_1, 16, 
, drone_4, 12, 
, gantry_3, 25, 
, Total Turns , 30, 

, Id, Score, 
, quadruped_0, 83, 
, gantry_0, 113, 
, drone_0, 56, 
, Total Turns , 100, 

, Id, Score, 
, quadruped_1, 44, 
, drone_0, 29, 
, gantry_0, 65, 
, drone_1, 32, 
, quadruped_0, 46, 
, gantry_1, 36, 
, Total Turns , 57, 

, Id, Score, 
, drone_2, 20, 
, quadruped_1, 27, 
, drone_0, 20, 
, quadruped_0, 29, 
, gantry_1, 48, 
, drone_1, 18, 
, gantry_2, 42, 
, gantry_0, 24, 
, quadruped_2, 24, 
, Total Turns , 30, 

, Id, Score, 
, quadruped_3, 19, 
, quadruped_0, 18, 
, gantry_1, 37, 
, drone_2, 16, 
, drone_3, 16, 
, quadruped_2, 19, 
, quadruped_1, 18, 
, gantry_0, 24, 
, gantry_3, 33, 
, gantry_2, 25, 
, drone_0, 15, 
, drone_1, 12, 
, Total Turns , 20, 

, Id, Score, 
, drone_1, 9, 
, quadruped_2, 18, 
, quadruped_4, 18, 
, gantry_4, 32, 
, quadruped_0, 17, 
, gantry_2, 27, 
, drone_0, 9, 
, drone_2, 10, 
, quadruped_3, 17, 
, gantry_0, 21, 
, gantry_1, 20, 
, drone_3, 8, 
, quadruped_1, 17, 
, drone_4, 8, 
, gantry_3, 21, 
, Total Turns , 20, 

