, Id, Score, 
, drone_0, 252, 
, Total Turns , 336, 

, Id, Score, 
, drone_0, 252, 
, Total Turns , 337, 

, Id, Score, 
, drone_1, 126, 
, drone_0, 126, 
, Total Turns , 166, 

, Id, Score, 
, drone_0, 128, 
, drone_1, 124, 
, Total Turns , 171, 

, Id, Score, 
, drone_1, 84, 
, drone_0, 85, 
, drone_2, 83, 
, Total Turns , 110, 

, Id, Score, 
, drone_0, 84, 
, drone_2, 85, 
, drone_1, 83, 
, Total Turns , 110, 

, Id, Score, 
, drone_2, 64, 
, drone_3, 64, 
, drone_0, 60, 
, drone_1, 64, 
, Total Turns , 82, 

, Id, Score, 
, drone_3, 64, 
, drone_1, 63, 
, drone_2, 63, 
, drone_0, 62, 
, Total Turns , 81, 

, Id, Score, 
, drone_1, 51, 
, drone_0, 52, 
, drone_4, 48, 
, drone_2, 50, 
, drone_3, 51, 
, Total Turns , 66, 

, Id, Score, 
, drone_2, 52, 
, drone_4, 51, 
, drone_0, 51, 
, drone_1, 50, 
, drone_3, 48, 
, Total Turns , 66, 

, Id, Score, 
, quadruped_0, 252, 
, Total Turns , 289, 

, Id, Score, 
, quadruped_0, 252, 
, Total Turns , 273, 

, Id, Score, 
, quadruped_1, 157, 
, quadruped_0, 95, 
, Total Turns , 165, 

, Id, Score, 
, quadruped_1, 129, 
, quadruped_0, 123, 
, Total Turns , 146, 

, Id, Score, 
, quadruped_1, 81, 
, quadruped_2, 81, 
, quadruped_0, 90, 
, Total Turns , 111, 

, Id, Score, 
, quadruped_0, 84, 
, quadruped_1, 85, 
, quadruped_2, 83, 
, Total Turns , 92, 

, Id, Score, 
, quadruped_2, 65, 
, quadruped_0, 66, 
, quadruped_1, 62, 
, quadruped_3, 59, 
, Total Turns , 75, 

, Id, Score, 
, quadruped_3, 65, 
, quadruped_1, 63, 
, quadruped_0, 63, 
, quadruped_2, 61, 
, Total Turns , 59, 

, Id, Score, 
, quadruped_3, 51, 
, quadruped_1, 51, 
, quadruped_4, 49, 
, quadruped_2, 51, 
, quadruped_0, 50, 
, Total Turns , 56, 

, Id, Score, 
, quadruped_4, 50, 
, quadruped_2, 51, 
, quadruped_3, 52, 
, quadruped_1, 50, 
, quadruped_0, 49, 
, Total Turns , 56, 

, Id, Score, 
, gantry_0, 252, 
, Total Turns , 261, 

, Id, Score, 
, gantry_0, 252, 
, Total Turns , 261, 

, Id, Score, 
, gantry_1, 141, 
, gantry_0, 111, 
, Total Turns , 150, 

, Id, Score, 
, gantry_1, 140, 
, gantry_0, 112, 
, Total Turns , 150, 

, Id, Score, 
, gantry_1, 88, 
